448.45,24.11,68.63,1014.34,45.28
431.33,31.38,70.83,1010.35,47.28
481.44,7.92,39.54,1011.51,84.41
440.75,27.55,63.13,1012.92,71.29
470.92,12.43,40.27,1007.08,61.56
430.92,25.57,66.54,1005.22,83.48
440.74,24.14,63.21,1012.28,89.08
437.82,29.45,70.02,1010.28,65.93
450.13,32.31,62.04,1010.41,39.39
468.27,10.2,41.01,1021.39,96.64
431.27,28.33,68.14,1004.63,71.21
463.64,17.57,43.7,1015.53,67.22
460.7,15.99,43.5,1021.34,73.22
438.24,29.08,52.84,1006.14,40.09
464.27,14.38,45.09,1012.95,86.1
484.03,6.64,35.19,1019.83,76.01
436.33,25.27,69.89,1015.21,79.33
436.75,28.31,50.05,1005.75,50.17
449.82,28.01,51.43,1011.6,49.2
453.4,18.99,59.27,1012.15,89.39
476.91,11.51,41.06,1021.3,78.11
444.21,21.3,59.39,1013.83,84.53
444.58,23.51,57.32,1012.55,53.6
470.45,14.73,39.52,1017.01,74.21
437.42,28.76,60.23,1010.03,58.24
435.01,31.55,69.75,1010.12,58.36
447.44,23.97,64.05,1012.23,90.18
470.4,11.45,45.01,1018.88,92.12
437.58,25.54,48.41,1010.51,55.34
448.37,23.36,62.52,1016.18,68.18
450.71,20.94,44.89,1009.64,75.14
467.44,14.28,37.2,1013.96,82.71
458.25,16.89,49.21,1015.19,70.39
430.5,29.39,71.14,1010.97,53.88
448.9,20.82,63.77,1014.28,86.37
461.73,17.18,40.55,1000.47,72.03
442.97,23.07,50.05,1006.9,86.98
480.18,10.72,39.35,1015.35,86.43
472.82,10.41,41.01,1020.12,94.27
489.22,6.49,39.33,1010.85,91.85
437.31,25.08,61.02,1010.01,73.21
438.21,23.63,73.5,1011.46,89.39
450.14,18.93,59.39,1013.92,68.78
447.31,21.85,58.33,1013.03,66.39
485.36,9.48,40.8,1023.82,78.98
465.52,16.77,42.28,1007.53,73.19
442.65,25.91,58.98,1010.02,75.31
484.31,6.77,38.18,1017.8,81.13
440.0,27.45,64.34,1007.12,65.87
468.23,14.73,36.99,1007.32,90.84
465.89,14.1,41.04,1026.11,74.25
454.88,13.82,41.62,1011.48,77.66
445.61,28.28,56.9,1006.38,64.99
469.25,14.68,41.23,998.43,83.71
442.68,21.11,74.78,1009.71,84.35
456.28,16.29,50.88,1013.79,99.15
427.71,28.0,69.05,1000.82,65.24
436.16,31.07,70.32,1011.74,65.91
447.69,20.72,63.94,1017.17,59.83
436.85,29.1,73.4,1011.35,57.31
473.78,9.33,39.96,1024.55,98.58
